,Name,Status,USD Raised,End of ICO,Token Sale Price,Current price,Return(x),Rating
https://www.icodata.io/coin/adshares,Adshares,Completed,"$12,129,522.00",12.01.2018,$0.98673,$0,0.000,0
https://www.icodata.io/coin/santiment,Santiment Network Token,Completed,"$12,094,650.00",05.07.2017,$0.26877,$5.24907,19.530,0
https://www.icodata.io/coin/viberate,Viberate,Completed,"$12,000,000.00",05.09.2017,$0.1,$0.553112,5.531,0
https://www.icodata.io/coin/coinlancer,Coinlancer,Completed,"$11,860,153.00",15.12.2017,$0.25,$0,0.000,0
https://www.icodata.io/coin/adex,AdEx,Completed,"$11,799,175.00",30.06.2017,$0.252068,$2.608,10.346,0
https://www.icodata.io/coin/dao-casino,DAO.Casino,Completed,"$11,496,820.00",26.07.2017,$0.068732,$0.184812,2.689,0
https://www.icodata.io/coin/Genaro-Network,Genaro Network,Completed,"$11,362,000.00",30.11.2017,$0.147546,$0,0.000,0
https://www.icodata.io/coin/atb-coin,ATB Coin,Completed,"$11,180,996.00",12.07.2017,$0,$0,0.000,0
https://www.icodata.io/coin/real,Real,Completed,"$11,160,652.00",30.09.2017,$0,$0,0.000,0
https://www.icodata.io/coin/doc-ai,doc ai,Completed,"$11,158,215.00",14.10.2017,$0.1,$0,0.000,0
https://www.icodata.io/coin/veritaseum,Veritaseum,Completed,"$11,000,000.00",26.05.2017,$5.6441,$385.152,68.240,0
https://www.icodata.io/coin/bitbounce,Bitbounce,Completed,"$10,908,037.00",28.08.2017,$0,$0,0.000,0
https://www.icodata.io/coin/populous,Populous,Completed,"$10,842,332.00",24.06.2017,$0.301176,$48.8822,162.304,0
https://www.icodata.io/coin/ditcoin,DitCoin,Completed,"$10,840,235.00",07.12.2017,$0,$0,0.000,0
https://www.icodata.io/coin/wagerr,Wagerr,Completed,"$10,837,500.00",22.06.2017,$0.06375,$0.879969,13.803,0
https://www.icodata.io/coin/iconomi,Iconomi,Completed,"$10,682,516.00",26.09.2016,$0.125677,$3.79837,30.223,0
https://www.icodata.io/coin/playkey,Playkey,Completed,"$10,512,361.00",01.12.2017,$1.86616,$0,0.000,0
https://www.icodata.io/coin/mercury-protocol,Mercury Protocol,Completed,"$10,355,051.00",25.11.2017,$0.06567,$0.185382,2.823,0
https://www.icodata.io/coin/rialto,Rialto,Completed,"$10,002,847.00",03.07.2017,$0.133371,$0.431552,3.236,0
https://www.icodata.io/coin/blockchain-capital-fund,BCAP,Completed,"$10,000,000.00",10.04.2017,$1,$3.91486,3.915,0
https://www.icodata.io/coin/karma,Karma,Completed,"$10,000,000.00",15.12.2017,$0.01,$0,0.000,0
https://www.icodata.io/coin/adtoken,adToken,Completed,"$10,000,000.00",26.06.2017,$0.01,$0.132327,13.233,0
https://www.icodata.io/coin/pluscoin,PlusCoin,Completed,"$10,000,000.00",10.10.2017,$0,$0,0.000,55
https://www.icodata.io/coin/poet,Po.et,Completed,"$10,000,000.00",09.08.2017,$0.006366,$0.121076,19.019,0
https://www.icodata.io/coin/gifto,Gifto,Completed,"$10,000,000.00",14.12.2017,$0.097415,$0,0.000,0
https://www.icodata.io/coin/xplay,XPlay,Completed,"$10,000,000.00",30.08.2017,$0,$0,0.000,0
https://www.icodata.io/coin/district0x,district0x,Completed,"$9,789,541.00",01.08.2017,$0.016316,$0.233583,14.316,0
https://www.icodata.io/coin/bonpay,Bonpay,Completed,"$9,746,719.00",28.11.2017,$0.09458,$0,0.000,0
https://www.icodata.io/coin/revain,Revain,Completed,"$9,690,729.00",06.09.2017,$0,$0,0.000,0
https://www.icodata.io/coin/b2bx,B2BX,Completed,"$9,544,348.00",17.11.2017,$0.742865,$0,0.000,0
https://www.icodata.io/coin/indorse,Indorse Token,Completed,"$9,247,390.00",07.09.2017,$0.32943,$0.302062,0.917,0
https://www.icodata.io/coin/ties-network,Ties Network,Completed,"$9,243,927.00",26.10.2017,$0.24,$0,0.000,0
https://www.icodata.io/coin/snip,Snip,Completed,"$9,074,226.00",29.10.2017,$0.0039,$0,0.000,0
https://www.icodata.io/coin/commerceblock,CommerceBlock,Completed,"$8,820,470.00",19.12.2017,$0.0625,$0,0.000,0
https://www.icodata.io/coin/starbase,Starbase,Completed,"$8,755,000.00",24.11.2017,$0,$0,0.000,0
https://www.icodata.io/coin/bitdice,BitDice,Completed,"$8,746,735.00",14.09.2017,$0.124953,$0.341249,2.731,0
https://www.icodata.io/coin/datum,Datum,Completed,"$8,738,305.00",29.11.2017,$0.017101,$0,0.000,0
https://www.icodata.io/coin/cartaxi,Cartaxi,Completed,"$8,712,049.00",01.11.2017,$0.116676,$0,0.000,0
https://www.icodata.io/coin/golem,Golem,Completed,"$8,596,000.00",13.11.2016,$0.010483,$0.908199,86.636,0
https://www.icodata.io/coin/hive-project,Hive Project,Completed,"$8,530,867.00",14.08.2017,$0,$0,0.000,0
https://www.icodata.io/coin/canya,CanYa,Completed,"$8,401,157.00",27.12.2017,$0.76,$0,0.000,0
https://www.icodata.io/coin/1world,1World,Completed,"$8,300,000.00",16.11.2017,$1.2,$0,0.000,0
https://www.icodata.io/coin/chrono-logic,Chronologic,Completed,"$8,259,637.00",01.09.2017,$10.637078,$6.62855,0.623,0
https://www.icodata.io/coin/primalbase,Primalbase Token,Completed,"$7,912,595.00",27.06.2017,$7,$6,0.809,0
https://www.icodata.io/coin/nvo,NVO,Completed,"$7,798,042.00",27.06.2017,$0.51987,$1.40596,2.704,0
https://www.icodata.io/coin/aion,Aion,Completed,"$7,624,532.00",10.10.2017,$0,$0,0.000,0
https://www.icodata.io/coin/taas,TaaS,Completed,"$7,569,374.00",28.04.2017,$1,$10.3592,10.359,0
https://www.icodata.io/coin/coindash,Coindash,Completed,"$7,543,380.00",17.07.2017,$0,$0,0.000,0
https://www.icodata.io/coin/guts,GUTS,Completed,"$7,520,874.00",15.12.2017,$0.97,$0,0.000,0
https://www.icodata.io/coin/singulardtv,SingularDTV,Completed,"$7,500,000.00",29.10.2016,$0.015,$0.426014,28.401,0
https://www.icodata.io/coin/loci,Loci,Completed,"$7,376,751.00",31.12.2017,$0.44,$0,0.000,0
https://www.icodata.io/coin/tokenbox,Tokenbox,Completed,"$7,334,268.00",28.11.2017,$0,$0,0.000,0
https://www.icodata.io/coin/storm,Storm,Completed,"$32,230,081.00",08.12.2017,$0.016921,$0,0.000,0
https://www.icodata.io/coin/patientory,Patientory,Completed,"$7,200,000.00",03.06.2017,$0.102857,$0.619885,6.027,0
https://www.icodata.io/coin/spankchain,Spankchain,Completed,"$7,175,143.57",13.11.2017,$0,$0,0.000,0
https://www.icodata.io/coin/aditus,Aditus,Completed,"$7,100,194.00",20.12.2017,$0,$0,0.000,0
https://www.icodata.io/coin/zrcoin,ZrCoin,Completed,"$7,070,000.00",09.06.2017,$1.417148,$2.29409,1.619,0
https://www.icodata.io/coin/blockcat,BlockCAT,Completed,"$7,034,927.00",18.08.2017,$0.764653,$5.70586,7.462,0
https://www.icodata.io/coin/blocktix,Blocktix,Completed,"$6,981,328.00",25.07.2017,$0.188518,$1.54652,8.204,0
https://www.icodata.io/coin/insurex,iXledger,Completed,"$6,949,290.00",13.07.2017,$0.144789,$3.01237,20.805,0
https://www.icodata.io/coin/esports,Esports,Completed,"$6,930,540.00",30.11.2017,$1.864449,$0,0.000,0
https://www.icodata.io/coin/goldmint,Goldmint,Completed,"$6,873,711.00",11.11.2017,$0,$0,0.000,0
https://www.icodata.io/coin/aphelion,Aphelion,Completed,"$6,780,661.00",07.12.2017,$0.13,$0,0.000,0
https://www.icodata.io/coin/atlant,Atlant,Completed,"$6,693,856.00",31.10.2017,$0.6079,$0,0.000,0
https://www.icodata.io/coin/hubii-network,Hubii Network,Completed,"$6,600,460.00",08.09.2017,$0,$0,0.000,0
https://www.icodata.io/coin/lisk,Lisk,Completed,"$6,500,000.00",21.03.2016,$0.076471,$27.5072,359.709,0
https://www.icodata.io/coin/betking,BetKing,Completed,"$6,497,166.00",04.09.2017,$0,$0,0.000,0
https://www.icodata.io/coin/dovu,DOVU,Completed,"$6,411,934.00",17.10.2017,$0,$0,0.000,0
https://www.icodata.io/coin/aurora,Aurora,Completed,"$6,391,168.00",07.01.2018,$3,$0,0.000,0
https://www.icodata.io/coin/oxycoin,Oxycoin,Completed,"$6,288,571.00",01.10.2017,$0,$0,0.000,0
https://www.icodata.io/coin/tensorbit,Tensorbit,Completed,"$6,200,000.00",17.10.2017,$0.64598,$0,0.000,0
https://www.icodata.io/coin/hero,Hero Token Pre-sale,Completed,"$6,149,949.00",20.12.2017,$4.14,$0,0.000,0
https://www.icodata.io/coin/dreamteam,DreamTeam (Phase 1),Completed,"$6,000,000.00",15.12.2017,$0.342225,$0,0.000,0
https://www.icodata.io/coin/paragon,Paragon,Completed,"$6,000,000.00",15.10.2017,$0,$0,0.000,0
https://www.icodata.io/coin/soma,Soma,Completed,"$6,000,000.00",15.11.2017,$0,$0,0.000,0
https://www.icodata.io/coin/lhcrypto,LHCrypto,Completed,"$5,951,183.00",31.12.2017,$0.1557,$0,0.000,0
https://www.icodata.io/coin/trueflip,TrueFlip,Completed,"$5,869,919.00",29.07.2017,$0.939598,$2.5879,2.754,0
